Nucleus Of Posterior Commissure    UBERON:0002711,Oral Part Of Spinal Trigeminal Nucleus    UBERON:0002591,White Matter Of Medulla Oblongata    UBERON:0014649,Gray Matter Of Spinal Cord    UBERON:0002315,Caudal Segment Of Spinal Cord    UBERON:0005845,Conus Medullaris    UBERON:0005437,Seventh Cervical Dorsal Root Ganglion    UBERON:0002843,Seventh Thoracic Dorsal Root Ganglion    UBERON:0002850,,,Lamina Ix Of Gray Matter Of Spinal Cord    UBERON:0016580,Cervical Spinal Cord Ventral Column    UBERON:0005854,Thoracic Spinal Cord Ventral Column    UBERON:0005852,Lumbar Spinal Cord Ventral Column    UBERON:0005855,Sacral Spinal Cord Gray Commissure    UBERON:0031111,,C6 Segment Of Cervical Spinal Cord    UBERON:0006492,Sixth Thoracic Spinal Cord Segment    UBERON:0006454,,,Trochlear Nerve    UBERON:0001644,Anterior Superior Alveolar Nerve    UBERON:0035646,,Rostral Interstitial Nucleus Of Medial Longitudinal Fasciculus    UBERON:0002717,"vesn, vestibular nuclei",Accessory Trigeminal Nucleus (Mba)    MBA:549009219,4th and 5th cerebellar lobules (paxrat)    PAXRAT:8,Anteroventral Cochlear Nucleus (Bercat)    BERCAT:9,Fifth Cervical Dorsal Root Ganglion    UBERON:0002842
Rostral Interstitial Nucleus Of Medial Longitudinal Fasciculus    UBERON:0002717,Central Tegmental Tract Of Pons    UBERON:0002783,Cochlear Nuclear Complex    UBERON:0002610,Lamina Of Gray Matter Of Spinal Cord    UBERON:0016570,Central Canal Of Spinal Cord    UBERON:0002291,Cuneate Fasciculus Of Spinal Cord    UBERON:0005832,,Eighth Thoracic Dorsal Root Ganglion    UBERON:0002851,,,Spinal Cord Gray Commisure,Cervical Spinal Cord Ventral Commissure    UBERON:0007836,Thoracic Spinal Cord Ventral Commissure    UBERON:0007837,Lumbar Spinal Cord Ventral Commissure    UBERON:0007834,Sacral Spinal Cord Ventral Column    UBERON:0005853,,C7 Segment Of Cervical Spinal Cord    UBERON:0006493,Seventh Thoracic Spinal Cord Segment    UBERON:0006455,,,Vagus Nerve    UBERON:0001759,Anterodorsal Lateral Line Nerve (Adlln)    UBERON:3010105,,Oculomotor Nuclear Complex    UBERON:0001715,"r3    Vm, nucleus motorius nervi trigemini    pon, pontine nuclei",Agranular Insular Area (Mba)    MBA:95,4th cerebellar lobule (paxrat)    PAXRAT:9,Apical Interpeduncular Nucleus (Bercat)    BERCAT:10,Fifth Lumbar Dorsal Root Ganglion    UBERON:0002859
Oculomotor Nuclear Complex    UBERON:0001715,Intermediate Acoustic Stria    UBERON:0002952,Glossopharyngeal Nerve Root    UBERON:0019310,Meninx Of Spinal Cord    UBERON:0003292,Cervical Spinal Cord Dorsal Column    UBERON:0005841,Dorsal Commissural Nucleus Of Spinal Cord    UBERON:0011776,,Ninth Thoracic Dorsal Root Ganglion    UBERON:0002852,,,,Cervical Spinal Cord White Matter    UBERON:0014614,Thoracic Spinal Cord White Matter    UBERON:0014637,Lumbar Spinal Cord White Matter    UBERON:0026386,Sacral Spinal Cord Ventral Commissure    UBERON:0007835,,,Eighth Thoracic Spinal Cord Segment    UBERON:0006456,,,Vestibulocochlear Nerve    UBERON:0001648,Anteroventral Lateral Line Nerve (Avlln)    UBERON:3010109,,Dorsal Oculomotor Nucleus    UBERON:0002964,"con, cochlear nuclei    null, nucleus lemnisci lateralis","Agranular Insular Area, Dorsal Part (Mba)    MBA:104",4th ventricle (paxrat)    PAXRAT:10,Aqueduct (Bercat)    BERCAT:11,Fifth Sacral Dorsal Root Ganglion    UBERON:0002863
Dorsal Oculomotor Nucleus    UBERON:0002964,Decussation Of Trochlear Nerve    UBERON:0002787,Accessory Xi Nerve Nucleus    UBERON:0020358,Nucleus Of Spinal Cord    UBERON:0011777,Cervical Spinal Cord Dorsal Horn    UBERON:0014620,Dorsomedial Sulcus,,Tenth Thoracic Dorsal Root Ganglion    UBERON:0002853,,,,,,,Sacral Spinal Cord White Matter    UBERON:0026246,,,Ninth Thoracic Spinal Cord Segment    UBERON:0006465,,,Vomeronasal Nerve    UBERON:0009121,Arm Nerve    UBERON:0003433,,Central Oculomotor Nucleus    UBERON:0002960,"Vpr, nucleus sensorius principalis nervi trigemini","Agranular Insular Area, Dorsal Part, Layer 1 (Mba)    MBA:996",5th cerebellar lobule (paxrat)    PAXRAT:11,Area Postrema (Bercat)    BERCAT:12,Fifth Thoracic Dorsal Root Ganglion    UBERON:0002848
Central Oculomotor Nucleus    UBERON:0002960,Vestibulocerebellar Tract    UBERON:0002552,Accessory Cuneate Nucleus    UBERON:0002864,Regional Part Of Spinal Cord    UBERON:0001948,Cervical Spinal Cord Gray Commissure    UBERON:0029626,Fasciculus Of Spinal Cord    UBERON:0005837,,Eleventh Thoracic Dorsal Root Ganglion    UBERON:0002854,,,,,,,Substantia Gelatinosa Of Sacral Spinal Cord Dorsal Horn,,,Tenth Thoracic Spinal Cord Segment    UBERON:0006466,,,Accessory Xi Nerve Cranial Component    UBERON:0009673,Autonomic Nerve    UBERON:0034728,,Medial Oculomotor Nucleus    UBERON:0002975,"con, cochlear nuclei","Agranular Insular Area, Dorsal Part, Layer 2/3 (Mba)    MBA:328",6a cerebellar lobule (paxrat)    PAXRAT:12,"Berman 1968 Cat Label Root,Bercat:",First Cervical Dorsal Root Ganglion    UBERON:0002838
Medial Oculomotor Nucleus    UBERON:0002975,Abducens Nucleus    UBERON:0002682,Accessory Nerve Fiber Bundle    UBERON:0006117,Roof Plate Spinal Cord Region    UBERON:0005724,Cervical Spinal Cord Gray Matter    UBERON:0014613,Filum Terminale Externum    UBERON:0010270,,,,,,,,,,,,Eleventh Thoracic Spinal Cord Segment    UBERON:0006467,,,Accessory Xi Nerve    UBERON:0002019,Axillary Nerve    UBERON:0001493,,Parvocellular Oculomotor Nucleus    UBERON:0002141,"r4    VIIm, nucleus motorius nervi facialis","Agranular Insular Area, Dorsal Part, Layer 5 (Mba)    MBA:1101",6b cerebellar lobule (paxrat)    PAXRAT:13,"Brachium Con, Cochlear Nucleijunctivum (Bercat)    BERCAT:13",First Lumbar Dorsal Root Ganglion    UBERON:0002857
Parvocellular Oculomotor Nucleus    UBERON:0002141,Trapezoid Body    UBERON:0002932,Anterior Spinocerebellar Tract    UBERON:0002987,Spinal Cord Column    UBERON:0016550,Cervical Spinal Cord Lateral Column    UBERON:0005849,Filum Terminale Internum    UBERON:0010269,,,,,,,,,,,,,,,Anterior Lateral Line Nerve    UBERON:2000425,Back Nerve    UBERON:0004215,,Ventral Oculomotor Nucleus    UBERON:0002934,"r5    VI, nucleus nervi abducentis    olsl, oliva superior","Agranular Insular Area, Dorsal Part, Layer 6A (Mba)    MBA:783",6c cerebellar lobule (paxrat)    PAXRAT:14,Brachium Of The Inferior Colliculus (Bercat)    BERCAT:14,First Sacral Dorsal Root Ganglion    UBERON:0002860
Ventral Oculomotor Nucleus    UBERON:0002934,Medial Parabrachial Nucleus    UBERON:0002918,Anteroventral Cochlear Nucleus    UBERON:0002830,Spinal Cord Ependyma    UBERON:0005359,Cervical Spinal Cord Lateral Horn    UBERON:0014619,Filum Terminale    UBERON:0005443,,,,,,,,,,,,,,,Anterodorsal Lateral Line Nerve (Adlln)    UBERON:3010105,Buccal Nerve    UBERON:0013646,,Caudal Central Oculomotor Nucleus    UBERON:0002957,"Vpr, nucleus sensorius principalis nervi trigemini    olsm, oliva superior, medial nucleus","Agranular Insular Area, Dorsal Part, Layer 6B (Mba)    MBA:831",6th cerebellar lobule (paxrat)    PAXRAT:15,Brachium Pontis (Bercat)    BERCAT:15,First Thoracic Dorsal Root Ganglion    UBERON:0002845
Caudal Central Oculomotor Nucleus    UBERON:0002957,Spinothalamic Tract Of Pons    UBERON:0002798,Area Postrema    UBERON:0002162,Spinal Cord Lateral Horn    UBERON:0004676,Cervical Spinal Cord Ventral Column    UBERON:0005854,Floor Plate Spinal Cord Region    UBERON:0005723,,,,,,,,,,,,,,,Anteroventral Lateral Line Nerve (Avlln)    UBERON:3010109,Carotid Sinus Nerve    UBERON:0009009,,Anterior Median Oculomotor Nucleus    UBERON:0002701,"r6    VI, nucleus nervi abducentis    olsm, oliva superior, medial nucleus","Agranular Insular Area, Posterior Part (Mba)    MBA:111",7th cerebellar lobule (paxrat)    PAXRAT:16,Central Canal (Bercat)    BERCAT:16,Forth Lumbar Dorsal Root Ganglion
Anterior Median Oculomotor Nucleus    UBERON:0002701,Motor Root Of Trigeminal Nerve    UBERON:0002796,Caudal Part Of Spinal Trigeminal Nucleus    UBERON:0002866,Spinal Cord Lateral Wall    UBERON:0009582,Cervical Spinal Cord Ventral Commissure    UBERON:0007836,Funiculus Of Spinal Cord    UBERON:0006127,,,,,,,,,,,,,,,Chorda Tympani Branch Of Facial Nerve    UBERON:0009675,Chest Nerve    UBERON:0003432,,Intermediate Oculomotor Nucleus    UBERON:0002970,"r7    IX(m), nucleus motorius nervi glossopharyngei","Agranular Insular Area, Posterior Part, Layer 1 (Mba)    MBA:120",8th cerebellar lobule (paxrat)    PAXRAT:17,Central Interpeduncular Nucleus (Bercat)    BERCAT:17,Fourth Sacral Dorsal Root Ganglion
Intermediate Oculomotor Nucleus    UBERON:0002970,Dorsal Trigeminal Tract    UBERON:0002797,Central Gray Substance Of Medulla    UBERON:0002867,Spinal Cord    UBERON:0002240,Cervical Spinal Cord Ventral Horn    UBERON:0014621,Ganglion Part Of Peripheral Nervous System    UBERON:0024940,,,,,,,,,,,,,,,Cranial Nerve    UBERON:0001785,Cholinergic Enteric Nerve    UBERON:0010406,,Dentatothalamic Tract    UBERON:0002594,"nufs, nucleus fasciculi solitarii","Agranular Insular Area, Posterior Part, Layer 2/3 (Mba)    MBA:163",9th cerebellar lobule (paxrat)    PAXRAT:18,Central Linear Nucleus (Bercat)    BERCAT:18,Fourth Cervical Dorsal Root Ganglion    UBERON:0002841
Dentatothalamic Tract    UBERON:0002594,Dorsal Longitudinal Fasciculus Of Pons    UBERON:0002793,Central Medullary Reticular Nuclear Complex    UBERON:0035940,Subdivision Of Spinal Cord Central Canal    UBERON:0014538,Cervical Spinal Cord White Matter    UBERON:0014614,Gracile Fasciculus Of Spinal Cord    UBERON:0005826,,,,,,,,,,,,,,,Dorsal Anterior Lateral Line Nerve    UBERON:2001480,Chorda Tympani Branch Of Facial Nerve    UBERON:0009675,,Interstitial Nucleus Of Cajal    UBERON:0002551,"nurdV, nucleus of the radix descendens of V","Agranular Insular Area, Posterior Part, Layer 5 (Mba)    MBA:344",9th cerebellar lobule a (paxrat)    PAXRAT:19,Central Nucleus Of The Inferior Colliculus (Bercat)    BERCAT:19,Fourth Thoracic Dorsal Root Ganglion
Interstitial Nucleus Of Cajal    UBERON:0002551,Nucleus Subceruleus    UBERON:0002587,Cochlear Nucleus    UBERON:0001720,Tract Of Spinal Cord    UBERON:0007699,Cervical Spinal Cord    UBERON:0002726,Intermediolateral Nucleus    UBERON:0002175,,,,,,,,,,,,,,,Jugal Ramule    UBERON:3010778,Coccygeal Nerve    UBERON:0009629,,Midbrain Reticular Formation    UBERON:0002639,"r8    XII    oli, oliva inferior","Agranular Insular Area, Posterior Part, Layer 6A (Mba)    MBA:314",9th cerebellar lobule a and b (paxrat)    PAXRAT:20,Central Tegmental Field (Bercat)    BERCAT:20,Ganglion Part Of Peripheral Nervous System    UBERON:0024940
Midbrain Reticular Formation    UBERON:0002639,Lateral Parabrachial Nucleus    UBERON:0003007,Commissural Nucleus Of Vagus Nerve    UBERON:0002868,Urophysis    UBERON:0011359,Cervical Subsegment Of Spinal Cord    UBERON:0007714,Intermediomedial Cell Column,,,,,,,,,,,,,,,Lateral Line Nerve    UBERON:0008906,Cochlear Nerve    UBERON:0004727,,Pedunculopontine Tegmental Nucleus    UBERON:0002142,"X(m), nucleus motorius nervi vagi","Agranular Insular Area, Posterior Part, Layer 6B (Mba)    MBA:355",9th cerebellar lobule b (paxrat)    PAXRAT:21,Cerebellar Cortex (Bercat)    BERCAT:21,Grueneberg Ganglion    UBERON:0013208
Pedunculopontine Tegmental Nucleus    UBERON:0002142,Dorsal Nucleus Of Lateral Lemniscus    UBERON:0003006,Cuneate Fasciculus Of Medulla    UBERON:0002642,White Matter Of Spinal Cord    UBERON:0002318,Conus Medullaris    UBERON:0005437,Lamina Of Gray Matter Of Spinal Cord    UBERON:0016570,,,,,,,,,,,,,,,Middle Lateral Line Nerve (Mlln)    UBERON:3010126,Common Fibular Nerve    UBERON:0001324,,Subcuneiform Nucleus    UBERON:0002700,"r9    XII    nufl, nucleus funiculi lateralis","Agranular Insular Area, Ventral Part (Mba)    MBA:119",9th cerebellar lobule c (paxrat)    PAXRAT:22,Cerebral Cortex (Bercat)    BERCAT:22,Inferior Part Of Vestibular Ganglion    UBERON:0002826
Subcuneiform Nucleus    UBERON:0002700,Medial Longitudinal Fasciculus Of Pons    UBERON:0002794,Cuneate Nucleus    UBERON:0002045,,Cuneate Fasciculus Of Spinal Cord    UBERON:0005835,Lateral Cervical Nucleus    FMA:73921,,,,,,,,,,,,,,,Middle Lateral Line Nerve    UBERON:2001482,Communicating Branch Of Spinal Nerve    UBERON:0017642,,Cuneiform Nucleus    UBERON:0002696,"X(m), nucleus motorius nervi vagi    oli, oliva inferior","Agranular Insular Area, Ventral Part, Layer 1 (Mba)    MBA:704",A1 noradrenaline cells (paxrat)    PAXRAT:24,Choroid Plexus (Bercat)    BERCAT:23,Lumbar Dorsal Root Ganglion    UBERON:0002836
Cuneiform Nucleus    UBERON:0002696,Tectopontine Tract    UBERON:0002930,Cuneocerebellar Tract    UBERON:0002640,,Dorsal Commissural Nucleus Of Spinal Cord    UBERON:0011776,Lateral Corticospinal Tract    FMA:72635,,,,,,,,,,,,,,,Oral Ramule    UBERON:3010794,Cranial Nerve    UBERON:0001785,,Central Tegmental Tract Of Midbrain    UBERON:0002585,"r10    XII    nuce, nucleus cuneatus externus","Agranular Insular Area, Ventral Part, Layer 2/3 (Mba)    MBA:694",A1 noradrenaline cells/C1 adrenaline cells (paxrat)    PAXRAT:25,Cochlear Granular Layer (Bercat)    BERCAT:24,Ninth Thoracic Dorsal Root Ganglion    UBERON:0002852
Central Tegmental Tract Of Midbrain    UBERON:0002585,Principal Sensory Nucleus Of Trigeminal Nerve    UBERON:0002597,Decussation Of Medial Lemniscus    UBERON:0002643,,Dorsal Gray Commissure Of Spinal Cord    UBERON:0014631,Lateral Spinal Nucleus    UBERON:0035024,,,,,,,,,,,,,,,Posterior Lateral Line Nerve (Plln)    UBERON:3010115,Deep Fibular Nerve    UBERON:0035207,,Midbrain Raphe Nuclei    UBERON:0007412,"X(m), nucleus motorius nervi vagi    nufl, nucleus funiculi lateralis","Agranular Insular Area, Ventral Part, Layer 5 (Mba)    MBA:800",A11 dopamine cells (paxrat)    PAXRAT:31,Cochlear Nerve (Bercat)    BERCAT:25,Parasympathetic Ganglion    UBERON:0001808
Midbrain Raphe Nuclei    UBERON:0007412,Medial Lemniscus Of Pons    UBERON:0002958,Dorsal Cap Of Kooy    UBERON:0014286,,Dorsal Horn Of Spinal Cord    UBERON:0002256,Meninx Of Spinal Cord    UBERON:0003292,,,,,,,,,,,,,,,Posterior Lateral Line Nerve    UBERON:2000175,Deep Temporal Nerve    UBERON:0011327,,Pallidotegmental Fasciculus    UBERON:0002671,"nufs, nucleus fasciculi solitarii    oli, oliva inferior","Agranular Insular Area, Ventral Part, Layer 6A (Mba)    MBA:675",A13 dopamine cells (paxrat)    PAXRAT:32,Commissure Of The Fornix (Bercat)    BERCAT:26,Regional Part Of Vestibular Ganglion
