edge,neurolex names,existing equiv,definition,label,notes,subPropertyOf,inverse,types,displayLabel,displayDefinition
hasComputedMolecularPhenotypeFromRNA,,,Expresses a relationship between a neuron type and a type computed from only RNA expression data.,,,hasComputedMolecularPhenotype,,"asymmetric, irreflexive",Computed from RNA,"Molecular phenotype computed from RNA-level data (e.g., transcriptomics)."
hasComputedMolecularPhenotypeFromProtein,,,Expresses a relationship between a neuron type and a type computed from only Protein expression data.,,,hasComputedMolecularPhenotype,,"asymmetric, irreflexive",Computed from protein,"Molecular phenotype computed from protein-level data (e.g., proteomics)."
hasMorphologicalPhenotype,"SpineDensityOnDendrites, CellSomaSize, CellSomaShape",,Expresses a relationship between a neuron type and a morphological phenotype concept. This should be used when a neuron type is described using a high level morphological concept class.,,,hasPhenotype,,"asymmetric, irreflexive",Morphology,"The shape, size, and structural appearance of the cell type."
hasAxonMorphologicalPhenotype,,,,,not clear whether this should be subPropertyOf hasMorphologicalPhenotype,hasMorphologicalPhenotype,,"asymmetric, irreflexive",Axon morphology,The shape and branching pattern of the cell type's axons.
hasAxonSensorySubcellularStructure,,,Expresses a relationship between a neuron and an axon sensory subcellular structure. Should be used to describe e.g. nerve ending types.,,,hasAxonMorphologicalPhenotype,,"asymmetric, irreflexive",,
hasDendriteMorphologicalPhenotype,,,Expresses a relationship between a neuron and a dendrite phenotype. This should be used when a neuron type is described by the morphology of its dendrites.,,not clear whether this should be subPropertyOf hasMorphologicalPhenotype,hasMorphologicalPhenotype,,"asymmetric, irreflexive",Dendrite morphology,The shape and branching pattern of the cell type's dendrites.
hasElectrophysiologicalPhenotype,,,Expresses a relationship between a neuron type and an electrophysiological phenotype concept. This should be used when a neuron type is described using a high level electrophysiological concept class.,,,hasPhenotype,,"asymmetric, irreflexive",Electrophyioslogy,The electrical properties and firing properties of the cell.
#hasSpikingPhenotype,,,,,,hasElectrophysiologicalPhenotype,,"asymmetric, irreflexive",,
#hasInitialSpikingPhenotype,,,,,ilx:hasInitialFiringPhenotype,hasSpikingPhenotype,,"asymmetric, irreflexive",,
#hasSustainedSpikingPhenotype,,,,,ilx:hasSustainedFiringPhenotype,hasSpikingPhenotype,,"asymmetric, irreflexive",,
hasDevelopmentalStructure,,,Expresses a relationship between a neuron type and a developmental cell population. This should be used when a neuron develops from an identified developmental anatomical entity.,,needs work,hasPhenotype,,,Developmental structure,An anatomical structure associated with the cell type's developmental origin.
hasDevelopmentalType,,,Expresses a relationship between a neuron type and a developmental cell population. This should be used when a neuron develops from an identified developmental cell type.,,,hasPhenotype,,,Developmental type,The developmental lineage for the cell type.
#intrinsic/extrinsic phenotypes,,,,,,,,,,
#hasExtrinsicPhenotype,,,,,,hasPhenotype,,,,
hasProjectionPhenotype,Has role,,Expresses a relationship between a neuron type and a brain region that said neuron type sends axons to.,,"this might be clearer than hasCircuitRole but might confuse with projectsTo or the like, excitatory/inhibitory shouldn't be handled here? The way that projection vs intrinsic is modelled relates whether axons leave the brain region that contains the soma or not, this is not fully modelled at the moment",hasPhenotype,,"asymmetric, irreflexive",Projection target,Anatomical regions to which the cell type sends its axonal projections.
hasProjectionLaterality,,,"Expresses a relationship between a neuron type and whether the target region it projects to is on the same, opposite, or both sides of the brain.",,"ispilateral, contralateral, and bilateral are kind of like cortico thalamic but they are lifted to an invariant form that doesn’t care about the exact starting side, unilateral is the union of ipsi and contra but I’m fairly certain that unilateral should never be reported because it is ambiguous, this is primarily a convenience relation for neurons that have a single projection laterality, however there are plenty of examples where there are neurons that project to two different regions one of which is ipsi and the other of which is contra, those cases require the composition to happen on the object of the restriction, so you wind up with has projection phenotype some ipsilateral region, otherwise all our definitions are consistent with bilateral and unilateral projections, which is something we will probably have to fix, right now we are using the PATO laterality terms but the modelling isn’t really what we want because we need to have ipsilateral disjoint from contralateral and disjoint from bilateral",hasProjectionPhenotype,,"asymmetric, irreflexive",Projection laterality,"Projections are ipsilateral, contralateral, or bilateral."
receivesProjectionFrom,,,Expresses a relationship between a neuron type and a brain region where said neuron type has a reverse connection phenotype with some neuron type that has its soma located in said brain region.,,"this is essentially hasReverseProjectionPhenotype, however, unlike for connection phenotypes where forward and reverse are not ambiguous, a reverse projection is a confusing concept and thus not used",hasPhenotype,,"asymmetric, irreflexive",Receives input from,Anatomical regions that send input to this cell type.
hasConnectionPhenotype,,,Expresses a relationship between a neuron type and a neuron type or a neuron type and a subcompartment of a neuron type some members are connected with eachother.,,Absent a specific subcompartment we can only infer hasProjectionPhenotype at the granularity of soma + dendrite location. NOTE: This relationship does not imply direction. If you need direction please choose a subproperty.,hasPhenotype,,symmetric,Connectivity,Synaptic connections between this cell type and other cell types.
hasForwardConnectionPhenotype,,,,,can be inferred from symmetric connection + projects to,hasConnectionPhenotype,hasReverseConnectionPhenotype,"asymmetric, irreflexive",Connects onto,Synaptic connections where this cell type is the presynaptic partner.
hasReverseConnectionPhenotype,,,,,,hasConnectionPhenotype,hasForwardConnectionPhenotype,"asymmetric, irreflexive",Receives input from,Synaptic connections where this cell type is the postsynaptic partner.
#projectsOnTo,,,,,,,,,,
hasConnectionDeterminedByElectrophysiology,,,,,anything from estim to in vitro slice,hasForwardConnectionPhenotype,,,Connection via electrophysiology,Connection determined by using electrophysiological recording methods.
hasConnectionDeterminedBySynapticPhysiology,,,,,ephys or ca2+,hasConnectionDeterminedByElectrophysiology,,,Connection via synaptic physiology,Connection determined by measuring synaptic potentials or currents.
hasConnectionDeterminedByPharmacology,,,,,specificity of connections often require pharm,hasConnectionDeterminedByElectrophysiology,,,Connection via pharmacology,Connection determined by using pharmacological manipulation.
hasConnectionDeterminedByViralTracing,,,,,transsynaptic?,hasForwardConnectionPhenotype,,,Connection via viral tracing,Connection determined by using viral tracers injected into tissue.
hasConnectionDeterminedByCellFilling,,,,,,hasForwardConnectionPhenotype,,,Connection via cell filling,Connection determined by filling individual cells with a dye or tracer.
hasConnectionDeterminedByElectronMicroscopy,,,,,traditionally harder to get granular types here?,hasForwardConnectionPhenotype,,,Connection via electron microscopy,Connection determined by electron microscopy imaging.
,,,,,,,,,,
hasAnatomicalSystemPhenotype,,,"Expresses a relationship between a neuron type and some anatomical criteria, such as being located in a particular system. Note that this NOT a subPropertOf hasLocationPhenotype.",,"This is used to differentiate things like parasympathetic preganglionic from raw hasPhenotype. This can be used in cases where the meaning is clear to the domain experts, but has not been fully formalized.",hasPhenotype,,"asymmetric, irreflexive",Anatomical system,"An anatomical system (e.g., sympathetic, enteric) the cell type is part of."
#hasContactWith,,,Expresses a relationship between a neuron type and a neuron type where some members make physical contact with eachother.,,"Could be makesContactWith, this is primarily for purely visual or anatomical contacts. NOTE: this is a symmetric relation unlike hasConnectionPhenotype, it can be inferred from hasConnectionPhenotype, but not the reverse.",hasProjectionPhenotype,,symmetric,,
hasLayerLocationPhenotype,,,Expresses a relationship between a neuron type and a laminar brain region.,,"May need hasSomaLayerLocation or something, do we really even need this?? if axioms are missing in parcellation schemes and uberon then it should be easy enough to add them, or at least we won't get disjointness issues because layers of cortex are orthogonal to parts of cortex (eg) and thus we shouldnt get reasoning errors",hasLocationPhenotype,,"asymmetric, irreflexive",Layer location,"A laminar structure (e.g. cortical layer, spinal layer) that any part of the of the cell type is located in."
hasLocationPhenotype,,,Expresses a relationship between a neuron type and a brain region or brain parcel. This is a superProperty and should not be used directly.,,This property should not be used directly.,hasPhenotype,,"asymmetric, irreflexive",Located in,An anatomical location of any part of a cell type.
hasSomaLocatedIn,Located in,,,,,hasLocationPhenotype,,"asymmetric, irreflexive",Soma location,An anatomical region where the cell body (soma) resides.
hasSomaLocatedInLayer,,,,,,"hasLayerLocationPhenotype,hasSomaLocatedIn",,,Soma layer,A tissue layer in which the cell body is located.
hasSomaLocationLaterality,,,,,,hasSomaLocatedIn,,,Laterality,"The laterality (left, right, both) of the location of the somas of the cell type."
hasProcessLocatedIn,,,,,,hasLocationPhenotype,,"asymmetric, irreflexive",Process location,An anatomical location of the cell type's processes (axon/dendrites).
hasDendriteLocatedIn,DendriteLocation,,,,,hasProcessLocatedIn,,"asymmetric, irreflexive",Dendrite location,An anatomical location of the cell type's dendrites.
hasAxonPhenotype,,,Expresses a relationship between a neuron type and some phenotype of its axon.,,Use to provide clarity about where a generic phenotype is attached in the event that the object is not qualified. The alternative is to precompose the subcompartments e.g. SmallSomaPhenotype and SmallAxonPhenotype.,hasPhenotype,,,Axon type,Phenotypes specific to the cell type's axons.
hasDendritePhenotype,,,Expresses a relationship between a neuron type and some phenotype of its dendrite.,,Use to provide clarity about where a generic phenotype is attached in the event that the object is not qualified. The alternative is to precompose the subcompartments e.g. SmallSomaPhenotype and SmallAxonPhenotype.,hasPhenotype,,,Dendrite characteristics,Phenotypes specific to the cell type's dendrites.
hasSomaPhenotype,,,Expresses a relationship between a neuron type and some phenotype of its soma.,,Use to provide clarity about where a generic phenotype is attached in the event that the object is not qualified. The alternative is to precompose the subcompartments e.g. SmallSomaPhenotype and SmallAxonPhenotype.,hasPhenotype,,,Soma characteristics,Phenotypes specific to the cell type's soma.
,,,,,,,,,Sensory ending,A sensory ending type of an axon for this cell type.
hasAxonLocatedIn,"LocationOfAxonArborization, LocationOfLocalAxonArborization",,,,,hasProcessLocatedIn,,"asymmetric, irreflexive",Axon location,An anatomical location of the cell type's axons (including terminals).
#projectsThrough,,,,,"has weak semantics, axons in and presynatical terminals in are ok for traditional tracing experiments, fasciculates with?",,,,,
hasPresynapticElementIn,,,,,"DO NOT USE, AMBIGUOUS! projectsTo does not work because of dendrodentritic synapses, for the same reason this cannot be a subProperty of hasAxonLocatedIn",hasProcessLocatedIn,,"asymmetric, irreflexive",Presynaptic element location,An anatomical location of the cell type's presynaptic elements (axonal OR dendritic).
hasPresynapticTerminalsIn,,,,,"DO NOT USE, AMBIGUOUS! Are there cases where there are boutons that form on dendrites?",hasPresynapticElementIn,,,Presynaptic terminal locations,An anatomical location of the cell type's presynaptic terminals (axonal OR dendritic).
hasAxonPresynapticElementIn,,,,,,"hasPresynapticElementIn,hasAxonLocatedIn",,,Terminates in,An anatomical location of the cell type's axonal presynaptic elements.
hasSensorySubcellularElementIn,,,Expresses a relationship between a neuron and a nervous system region where that neuron has a part which is involved in the direct detection of sensory stimuli.,,"This is the equivalent of axon terminals for sensory dendrites in the peripheral nervous system. Not 100% sure on the modeling, but some mechanosensory neurons this would be the anatomcal region(s) where the Pacinian corpuscle are located.",hasLocationPhenotype,,"asymmetric, irreflexive",Sensory ending location,An anatomical location of the cell type's sensory subcellular elements (axonal OR dendritic).
hasDendriteSensorySubcellularElementIn,,,,,,"hasDendriteLocatedIn,hasSensorySubcellularElementIn",,"asymmetric, irreflexive",Dendrite sensory element location,An anatomical location of the cell type's dendritic sensory subcellular elements.
hasAxonLeadingToSensorySubcellularElementIn,,,,,a weak property that only asserts that distally there is expected to be at least one case of a hasAxonSensorySubcellularElementIn region in the partial order,hasAxonLocatedIn,,"asymmetric, irreflexive",Axon location,An anatomical location of the cell type's axons that lead to a senaroy subcellular element (including terminals).
hasAxonSensorySubcellularElementIn,,,,,,"hasAxonLeadingToSensorySubcellularElementIn,hasSensorySubcellularElementIn",,"asymmetric, irreflexive",Sensory structure location,An anatomical location of the cell type's axonal sensory subcellular elements.
hasCircuitRolePhenotype,,,,,needs work,hasPhenotype,,"asymmetric, irreflexive",Circuit role,The role this cell type plays within a neural circuit.
hasFunctionalCircuitRolePhenotype,,,Expresses a relationship between a neuron and the immediate effect that it has on post synaptic cells. This is usually either excitatory or inhibitory.,,this is currently a subproperty of hasPhenotype because we need to work out the relationship between circuit role and projection phenotype,hasPhenotype,,"asymmetric, irreflexive",Functional circuit role,The excitatory or inhibitory role played by the cell type in the circuit.
hasExperimentalPhenotype,,,Expresses a relationship between a neuron and an experimental condition. This should be used when a neuron type is described by some experimental condition or functional designation.,,This needs a better name. It is clear what it means when you see examples of the usage.,hasPhenotype,,"asymmetric, irreflexive",Experimental observation,A phenotype defined by meeting specific experimental conditions.
hasFunctionalPhenotype,,,Expresses a relationship between a neuron and some external property such as high level sensory function.,,"This should probably be equivalent to hasExperimentalPhenotype, however experimental phenotype implies that the value was actually determined experimentally for a given individual which functional does not necessarily imply.",hasPhenotype,,"asymmetric, irreflexive",Function,An external function or behavior that results in the electrical activation of the cell type.
hasAdaptationPhenotype,,,,,currently spo ephys since it describes the changes in phys in response to repeated stimulation,hasElectrophysiologicalPhenotype,,"asymmetric, irreflexive",Adaptation,The electrophysiological adaptation behavior of the cell type.
hasThresholdPhenotype,,,,,"currently spo functional, I think this is general to any external metric where the response of a neuron behaves non-linearly across a set threshold",hasFunctionalPhenotype,,"asymmetric, irreflexive",Threshold,The threshold stimulus strength needed to activate or trigger the cell type.
,,,,,,,,,,
hasInstanceInSpecies,Species/taxa,,Expresses a relationship between a neuron type and a species. This should be used when a neuron type has been observed in a specific species.,,"should rarely be used, even if dealing with evidence based models because it is an extremely weak assertion, possibly rename to hasBeenObservedInAtLeastOneIndividualInSpecies or something like that",hasPhenotype,,"asymmetric, irreflexive",Observed in,A species the cell type has been observed in.
hasInstanceInTaxon,Species/taxa,,Expresses a relationship between a neuron type and a taxon. When dealing with both EBMs and CUTs this is the predicate that should be used.,,"this is the weakest assertion we have available at a taxon level, hasInstanceInSpecies is even weaker since it does not propagage",hasInstanceInSpecies,,"asymmetric, irreflexive",Observed in,A taxonomic group the cell type has been observed in.
hasTaxonRank,Species/taxa,,Expresses a relationship between a neuron type and a taxon. This should be used when a neuron type is thought to have been present in the last common ancestor of the taxon.,,"note that this is a subPropertyOf hasInstanceInTaxon NOT the other way around, aka isAncestralInTaxon, even stronger claim than instance and propagates downward implying that instances were present in all members except those specifically marked (which owl can't really support)",hasInstanceInTaxon,,"asymmetric, irreflexive",Taxonomic rank,The taxonomic group of the last common ancestor with this cell type.
hasBiologicalSex,,,Expresses a relationship between a neuron type and a biological sex. This should be used when a neuron type has been observed in a specific sex.,,,hasPhenotype,,"asymmetric, irreflexive",Sex,The biological sex the cell type has been observed in.
hasDevelopmentalStage,,,Expresses a relationship between a neuron type and a developmental stage. This should be used when a neuron type has been observed during a developmental stage.,,,hasPhenotype,,"asymmetric, irreflexive",Developmental stage,A life cycle stage during which the cell type is observed.
,,,,,,,,,,
phenotypeObservedInBrainRegion,,Located in?,Expresses a relationship between a phenotype and a brain region. This should be used when a neuron phenotype is observed in specific brain regions.,,existential not universal,,,,Observed in brain region,A brain region where a cell type with this phenotype has been observed.
phenotypeCooccuresWith,,,Expresses a relationship between a phenotype and a phenotype. This should be used when two phenotypes commonly cooccure.,,"this is not the right way to pull this off, need something akin to disjointness",,,,Co-occurs with,Another phenotype that is consistently observed alongside this one.
,,,,,,,,,,
isMemberOfCircuit,,,Expresses a relationship between a neuron type and a circuit type that the neuron type is a member of. Implies that individual neurons of that type each have at least one forward or reverse connection with some other member of that circuit type.,,,RO:0002350,,"asymmetric, irreflexive",Member of circuit,A neural circuit that this cell type is a member of.
#references,,,,,,,,,,
in taxon,,http://purl.obolibrary.org/obo/RO_0002162,,,,,,,In taxon,A taxon this cell type occurs in.
never in taxon,,http://purl.obolibrary.org/obo/RO_0002161,,,,,,,Never in taxon,A taxon in which this cell type is definitively absent.
only in taxon,,http://purl.obolibrary.org/obo/RO_0002160,,,,,,,Only in taxon,A taxon in which this cell type is exclusively found.
present in taxon,,http://purl.obolibrary.org/obo/RO_0002175,,,,,,,Present in taxon,A taxon this cell type has been observed in.
ambiguous for taxon,,http://purl.obolibrary.org/obo/RO_0002173,,,,,,,Ambiguous for taxon,A taxon where the presence of this cell type is uncertain or where there is conflicting evidence.
dubious for taxon,,http://purl.obolibrary.org/obo/RO_0002174,,,,,,,Dubious for taxon,A taxon where the presence of this cell type is dubious or where there is questionable evidence.
always present in taxon,,http://purl.obolibrary.org/obo/RO_0002504,,,"this seems to be more about developmental stage, except that it used used for brain… maybe blastulas don't count?",,,,Always present in taxon,"A taxon where this cell type is consistently found across all members.








"
has phenotype,,http://purl.obolibrary.org/obo/RO_0002200,,,,,,,,
